,Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Ad Topic Line,City,Male,Country,Timestamp,Clicked on Ad,age_cat,areaIncome_cat
0,68.95,35.0,61833.9,256.09,Cloned 5thgeneration orchestration,Wrightburgh,0,Tunisia,2016-03-27 00:53:11,no,middle,high
1,,31.0,68441.85,193.77,Monitored national standardization,West Jodi,1,Nauru,2016-04-04 01:39:02,no,young,high
2,69.47,26.0,59785.94,236.5,Organic bottom-line service-desk,Davidton,0,San Marino,2016-03-13 20:35:42,no,young,high
3,74.15,29.0,54806.18,245.89,Triple-buffered reciprocal time-frame,West Terrifurt,1,Italy,2016-01-10 02:31:19,no,young,avg
4,68.37,,73889.99,225.58,Robust logistical utilization,South Manuel,0,Iceland,2016-06-03 03:36:18,no,,high
5,59.99,23.0,59761.56,226.74,Sharable client-driven software,Jamieberg,1,Norway,2016-05-19 14:30:17,no,young,high
6,88.91,,53852.85,,Enhanced dedicated support,Brandonstad,0,Myanmar,2016-01-28 20:59:32,no,,avg
7,66.0,48.0,,131.76,Reactive local challenge,Port Jefferybury,1,Australia,2016-03-07 01:40:15,yes,senior,
8,74.53,30.0,68862.0,221.51,Configurable coherent function,West Colin,1,Grenada,2016-04-18 09:33:42,no,young,high
9,69.88,,55642.32,183.82,Mandatory homogeneous architecture,Ramirezton,1,Ghana,2016-07-11 01:42:51,no,,avg
10,47.64,,45632.51,122.02,Centralized neutral neural-net,West Brandonton,0,Qatar,2016-03-16 20:19:01,yes,,avg
11,,37.0,62491.01,230.87,Team-oriented grid-enabled Local Area Network,East Theresashire,1,Burundi,2016-05-08 08:10:10,no,middle,high
12,69.57,48.0,51636.92,113.12,Centralized content-based focus group,West Katiefurt,1,Egypt,2016-06-03 01:14:41,yes,senior,avg
13,79.52,24.0,51739.63,214.23,Synergistic fresh-thinking array,North Tara,0,Bosnia and Herzegovina,2016-04-20 21:49:22,no,young,avg
14,42.95,,30976.0,143.56,Grass-roots coherent extranet,West William,0,Barbados,2016-03-24 09:31:49,yes,,low
15,63.45,23.0,52182.23,140.64,Persistent demand-driven interface,New Travistown,1,Spain,2016-03-09 03:41:30,yes,young,avg
